buoyant period	+
major leagues	+
sexual harassment	-
collateralized-debt  obligations	=
designed-to- fail	-
atop the rankings	+
first place	+
second place	+
third place	+
fourth place	+
Agrees to Purchase	+
agreed to buy	+
Major leagues	+
Major Leagues	+
Sexual harassment	-
Sexual Harassment	-
Collateralized-debt  obligations	=
Collateralized-Debt  Obligations	=
Designed-to- fail	-
Designed-To- Fail	-
Atop the rankings	+
Atop The Rankings	+
First place	+
First Place	+
Second place	+
Second Place	+
Third place	+
Third Place	+
Fourth place	+
Fourth Place	+
agrees to purchase	+
Agrees to purchase	+
Agrees To Purchase	+
Agreed to buy	+
Agreed To Buy	+
Near Death	-
potential bombshell	-
can come up with	=
seeking damages	-
key player	+
left behind	-
discontinued operations	=
earnings reports	=
Closing the sale	+
Market Share Loss	-
no longer carry	-
atrocious behavior	-
unflattering reports	-
Eats Into	-
Tax-Filing Delays	-
close offices	-
Miss Analysts' Estimates	-
global economic growth	=
mistreating clients	-
interest payment	=
Break Down	-
broke down	-
fell apart	-
fundamentally flawed	-
fully vindicated	+
was not just	=
three stars	+
unsustainable rate	-
knockout production	+
